DOCUMENT STATISTICS
Filename,rfc8446.txt
Text Length (chars),346699
Analyzed At,2026-05-08T23:34:20.731158
Total Segments,3714
  Normative,537
  Informative,2070
  Unknown,1107
High Confidence Segments (≥0.7),725
Medium Confidence Segments,2989
Low Confidence Segments (<0.4),0

SEMANTIC EXTRACTION
Total Profiles,49
Average Profile Confidence,70.4%

TERMINOLOGY
Defined Terms,2
Undefined Terms,48
Definition Coverage,4.0%

CONTRADICTIONS
Total Detected,899

#,Type,Confidence,Statement A,Statement B
1,semantic,100.0%,MUST send these messages in alignment with a record boundary.,field is deprecated and MUST be ignored for all purposes.
517,modality,90.0%,"""status_request"" extension from the server MUST be a","TLS 1.3 servers MUST NOT act upon its presence or information in it
when processing ClientHello messages; in particular, they MUST NOT
send the status_request_v2 extension in the EncryptedExtensions,"
518,modality,90.0%,"""status_request"" extension from the server MUST be a","permits it, and MUST NOT do so otherwise."
519,modality,90.0%,"TLS 1.3 servers MUST NOT act upon its presence or information in it
when processing ClientHello messages; in particular, they MUST NOT
send the status_request_v2 extension in the EncryptedExtensions,","CertificateRequest, or Certificate messages.  TLS 1.3 servers MUST be"
520,modality,90.0%,"TLS 1.3 servers MUST NOT act upon its presence or information in it
when processing ClientHello messages; in particular, they MUST NOT
send the status_request_v2 extension in the EncryptedExtensions,","response, the body of its ""status_request"" extension MUST be a"
521,modality,90.0%,"TLS 1.3 servers MUST NOT act upon its presence or information in it
when processing ClientHello messages; in particular, they MUST NOT
send the status_request_v2 extension in the EncryptedExtensions,","-  The certificate type MUST be X.509v3 [RFC5280], unless explicitly"
522,modality,90.0%,"TLS 1.3 servers MUST NOT act upon its presence or information in it
when processing ClientHello messages; in particular, they MUST NOT
send the status_request_v2 extension in the EncryptedExtensions,",restrictions) MUST be compatible with the selected authentication
523,modality,90.0%,"TLS 1.3 servers MUST NOT act upon its presence or information in it
when processing ClientHello messages; in particular, they MUST NOT
send the status_request_v2 extension in the EncryptedExtensions,","-  The certificate MUST allow the key to be used for signing (i.e.,
the digitalSignature bit MUST be set if the Key Usage extension is"
524,modality,90.0%,"TLS 1.3 servers MUST NOT act upon its presence or information in it
when processing ClientHello messages; in particular, they MUST NOT
send the status_request_v2 extension in the EncryptedExtensions,",All certificates provided by the server MUST be signed by a signature
525,modality,90.0%,"TLS 1.3 servers MUST NOT act upon its presence or information in it
when processing ClientHello messages; in particular, they MUST NOT
send the status_request_v2 extension in the EncryptedExtensions,","permits it, and MUST NOT do so otherwise."
526,modality,90.0%,"TLS 1.3 servers MUST NOT act upon its presence or information in it
when processing ClientHello messages; in particular, they MUST NOT
send the status_request_v2 extension in the EncryptedExtensions,","certificates and decides to abort the handshake, then it MUST abort"
527,modality,90.0%,"TLS 1.3 servers MUST NOT act upon its presence or information in it
when processing ClientHello messages; in particular, they MUST NOT
send the status_request_v2 extension in the EncryptedExtensions,","-  The certificate type MUST be X.509v3 [RFC5280], unless explicitly"
528,modality,90.0%,"TLS 1.3 servers MUST NOT act upon its presence or information in it
when processing ClientHello messages; in particular, they MUST NOT
send the status_request_v2 extension in the EncryptedExtensions,",-  The certificates MUST be signed using an acceptable signature
529,modality,90.0%,"CertificateRequest, or Certificate messages.  TLS 1.3 servers MUST be","permits it, and MUST NOT do so otherwise."
530,modality,90.0%,"response, the body of its ""status_request"" extension MUST be a","permits it, and MUST NOT do so otherwise."
531,modality,90.0%,"-  The certificate type MUST be X.509v3 [RFC5280], unless explicitly","permits it, and MUST NOT do so otherwise."
532,modality,90.0%,restrictions) MUST be compatible with the selected authentication,"permits it, and MUST NOT do so otherwise."
533,modality,90.0%,"-  The certificate MUST allow the key to be used for signing (i.e.,
the digitalSignature bit MUST be set if the Key Usage extension is","permits it, and MUST NOT do so otherwise."
534,modality,90.0%,All certificates provided by the server MUST be signed by a signature,"permits it, and MUST NOT do so otherwise."
535,modality,90.0%,"permits it, and MUST NOT do so otherwise.","certificates and decides to abort the handshake, then it MUST abort"
536,modality,90.0%,"permits it, and MUST NOT do so otherwise.","-  The certificate type MUST be X.509v3 [RFC5280], unless explicitly"
537,modality,90.0%,"permits it, and MUST NOT do so otherwise.",-  The certificates MUST be signed using an acceptable signature
538,modality,90.0%,"permits it, and MUST NOT do so otherwise.","""oid_filters"" extension, the end-entity certificate MUST match the"
539,modality,90.0%,"permits it, and MUST NOT do so otherwise.","If the server supplies an empty Certificate message, the client MUST
abort the handshake with a ""decode_error"" alert."
540,modality,90.0%,"permits it, and MUST NOT do so otherwise.",validate using any signature algorithm using an MD5 hash MUST abort
541,modality,90.0%,"permits it, and MUST NOT do so otherwise.","up to this point.  Servers MUST send this message when authenticating
via a certificate.  Clients MUST send this message whenever"
542,modality,90.0%,"permits it, and MUST NOT do so otherwise.","is non-empty).  When sent, this message MUST appear immediately after"
543,modality,90.0%,"permits it, and MUST NOT do so otherwise.","algorithm MUST be one offered in the client's ""signature_algorithms"""
544,modality,90.0%,"permits it, and MUST NOT do so otherwise.",MUST be one of those present in the supported_signature_algorithms
545,modality,90.0%,"-  The certificate type MUST be X.509v3 [RFC5280], unless explicitly",MUST NOT be used in any signatures of CertificateVerify messages.
546,modality,90.0%,-  The certificates MUST be signed using an acceptable signature,MUST NOT be used in any signatures of CertificateVerify messages.
547,modality,90.0%,"""oid_filters"" extension, the end-entity certificate MUST match the",MUST NOT be used in any signatures of CertificateVerify messages.
548,modality,90.0%,"If the server supplies an empty Certificate message, the client MUST
abort the handshake with a ""decode_error"" alert.",MUST NOT be used in any signatures of CertificateVerify messages.
549,modality,90.0%,validate using any signature algorithm using an MD5 hash MUST abort,MUST NOT be used in any signatures of CertificateVerify messages.
550,modality,90.0%,"up to this point.  Servers MUST send this message when authenticating
via a certificate.  Clients MUST send this message whenever",MUST NOT be used in any signatures of CertificateVerify messages.
551,modality,90.0%,"is non-empty).  When sent, this message MUST appear immediately after",MUST NOT be used in any signatures of CertificateVerify messages.
552,modality,90.0%,"algorithm MUST be one offered in the client's ""signature_algorithms""",MUST NOT be used in any signatures of CertificateVerify messages.
553,modality,90.0%,MUST be one of those present in the supported_signature_algorithms,MUST NOT be used in any signatures of CertificateVerify messages.
554,modality,90.0%,MUST be one of those present in the supported_signature_algorithms,"extension in EncryptedExtensions, then the client MUST NOT send an"
555,modality,90.0%,"In addition, the signature algorithm MUST be compatible with the key
in the sender's end-entity certificate.  RSA signatures MUST use an",MUST NOT be used in any signatures of CertificateVerify messages.
556,modality,90.0%,"In addition, the signature algorithm MUST be compatible with the key
in the sender's end-entity certificate.  RSA signatures MUST use an","extension in EncryptedExtensions, then the client MUST NOT send an"
557,modality,90.0%,"In addition, the signature algorithm MUST be compatible with the key
in the sender's end-entity certificate.  RSA signatures MUST use an","Servers MUST NOT send this message, and clients receiving it MUST
terminate the connection with an ""unexpected_message"" alert.  This"
558,modality,90.0%,MUST NOT be used in any signatures of CertificateVerify messages.,The receiver of a CertificateVerify message MUST verify the signature
559,modality,90.0%,MUST NOT be used in any signatures of CertificateVerify messages.,"If the verification fails, the receiver MUST terminate the handshake"
560,modality,90.0%,MUST NOT be used in any signatures of CertificateVerify messages.,"Recipients of Finished messages MUST verify that the contents are
correct and if incorrect MUST terminate the connection with a"
561,modality,90.0%,MUST NOT be used in any signatures of CertificateVerify messages.,Any records following a Finished message MUST be encrypted under the
562,modality,90.0%,MUST NOT be used in any signatures of CertificateVerify messages.,the client MUST send an EndOfEarlyData message after receiving the
563,modality,90.0%,MUST NOT be used in any signatures of CertificateVerify messages.,"extension in EncryptedExtensions, then the client MUST NOT send an"
564,modality,90.0%,MUST NOT be used in any signatures of CertificateVerify messages.,"Servers MUST NOT send this message, and clients receiving it MUST
terminate the connection with an ""unexpected_message"" alert.  This"
565,modality,90.0%,MUST NOT be used in any signatures of CertificateVerify messages.,Any ticket MUST only be resumed with a cipher suite that has the same
566,modality,90.0%,The receiver of a CertificateVerify message MUST verify the signature,"extension in EncryptedExtensions, then the client MUST NOT send an"
567,modality,90.0%,The receiver of a CertificateVerify message MUST verify the signature,"Servers MUST NOT send this message, and clients receiving it MUST
terminate the connection with an ""unexpected_message"" alert.  This"
568,modality,90.0%,"If the verification fails, the receiver MUST terminate the handshake","extension in EncryptedExtensions, then the client MUST NOT send an"
569,modality,90.0%,"If the verification fails, the receiver MUST terminate the handshake","Servers MUST NOT send this message, and clients receiving it MUST
terminate the connection with an ""unexpected_message"" alert.  This"
570,modality,90.0%,"Recipients of Finished messages MUST verify that the contents are
correct and if incorrect MUST terminate the connection with a","extension in EncryptedExtensions, then the client MUST NOT send an"
571,modality,90.0%,"Recipients of Finished messages MUST verify that the contents are
correct and if incorrect MUST terminate the connection with a","Servers MUST NOT send this message, and clients receiving it MUST
terminate the connection with an ""unexpected_message"" alert.  This"
572,modality,90.0%,"Recipients of Finished messages MUST verify that the contents are
correct and if incorrect MUST terminate the connection with a",issuance.  Servers MUST NOT use any value greater than
573,modality,90.0%,Any records following a Finished message MUST be encrypted under the,"extension in EncryptedExtensions, then the client MUST NOT send an"
574,modality,90.0%,Any records following a Finished message MUST be encrypted under the,"Servers MUST NOT send this message, and clients receiving it MUST
terminate the connection with an ""unexpected_message"" alert.  This"
575,modality,90.0%,Any records following a Finished message MUST be encrypted under the,issuance.  Servers MUST NOT use any value greater than
576,modality,90.0%,Any records following a Finished message MUST be encrypted under the,ticket should be discarded immediately.  Clients MUST NOT cache
577,modality,90.0%,the client MUST send an EndOfEarlyData message after receiving the,"extension in EncryptedExtensions, then the client MUST NOT send an"
578,modality,90.0%,the client MUST send an EndOfEarlyData message after receiving the,"Servers MUST NOT send this message, and clients receiving it MUST
terminate the connection with an ""unexpected_message"" alert.  This"
579,modality,90.0%,the client MUST send an EndOfEarlyData message after receiving the,issuance.  Servers MUST NOT use any value greater than
580,modality,90.0%,the client MUST send an EndOfEarlyData message after receiving the,ticket should be discarded immediately.  Clients MUST NOT cache
581,modality,90.0%,"extension in EncryptedExtensions, then the client MUST NOT send an","Servers MUST NOT send this message, and clients receiving it MUST
terminate the connection with an ""unexpected_message"" alert.  This"
582,modality,90.0%,"extension in EncryptedExtensions, then the client MUST NOT send an",Any ticket MUST only be resumed with a cipher suite that has the same
583,modality,90.0%,"extension in EncryptedExtensions, then the client MUST NOT send an",Clients MUST only resume if the new SNI value is valid for the server
584,modality,90.0%,"extension in EncryptedExtensions, then the client MUST NOT send an",implementations MUST use the value sent in the resumption ClientHello
585,modality,90.0%,"extension in EncryptedExtensions, then the client MUST NOT send an",issuance.  Servers MUST NOT use any value greater than
586,modality,90.0%,"extension in EncryptedExtensions, then the client MUST NOT send an",ticket should be discarded immediately.  Clients MUST NOT cache
587,modality,90.0%,"extension in EncryptedExtensions, then the client MUST NOT send an",transmitted by the client.  The server MUST generate a fresh value
588,modality,90.0%,"extension in EncryptedExtensions, then the client MUST NOT send an",CertificateRequest message.  The client MUST respond with the
589,modality,90.0%,"Servers MUST NOT send this message, and clients receiving it MUST
terminate the connection with an ""unexpected_message"" alert.  This",Any ticket MUST only be resumed with a cipher suite that has the same
590,modality,90.0%,"Servers MUST NOT send this message, and clients receiving it MUST
terminate the connection with an ""unexpected_message"" alert.  This",Clients MUST only resume if the new SNI value is valid for the server
591,modality,90.0%,"Servers MUST NOT send this message, and clients receiving it MUST
terminate the connection with an ""unexpected_message"" alert.  This",implementations MUST use the value sent in the resumption ClientHello
592,modality,90.0%,"Servers MUST NOT send this message, and clients receiving it MUST
terminate the connection with an ""unexpected_message"" alert.  This",issuance.  Servers MUST NOT use any value greater than
593,modality,90.0%,"Servers MUST NOT send this message, and clients receiving it MUST
terminate the connection with an ""unexpected_message"" alert.  This",ticket should be discarded immediately.  Clients MUST NOT cache
594,modality,90.0%,"Servers MUST NOT send this message, and clients receiving it MUST
terminate the connection with an ""unexpected_message"" alert.  This",transmitted by the client.  The server MUST generate a fresh value
595,modality,90.0%,"Servers MUST NOT send this message, and clients receiving it MUST
terminate the connection with an ""unexpected_message"" alert.  This",CertificateRequest message.  The client MUST respond with the
596,modality,90.0%,"Servers MUST NOT send this message, and clients receiving it MUST
terminate the connection with an ""unexpected_message"" alert.  This","chooses to authenticate, it MUST send Certificate, CertificateVerify,"
597,modality,90.0%,Any ticket MUST only be resumed with a cipher suite that has the same,issuance.  Servers MUST NOT use any value greater than
598,modality,90.0%,Any ticket MUST only be resumed with a cipher suite that has the same,ticket should be discarded immediately.  Clients MUST NOT cache
599,modality,90.0%,Clients MUST only resume if the new SNI value is valid for the server,issuance.  Servers MUST NOT use any value greater than
600,modality,90.0%,Clients MUST only resume if the new SNI value is valid for the server,ticket should be discarded immediately.  Clients MUST NOT cache
601,modality,90.0%,implementations MUST use the value sent in the resumption ClientHello,issuance.  Servers MUST NOT use any value greater than
602,modality,90.0%,implementations MUST use the value sent in the resumption ClientHello,ticket should be discarded immediately.  Clients MUST NOT cache
603,modality,90.0%,issuance.  Servers MUST NOT use any value greater than,ticket should be discarded immediately.  Clients MUST NOT cache
604,modality,90.0%,issuance.  Servers MUST NOT use any value greater than,transmitted by the client.  The server MUST generate a fresh value
605,modality,90.0%,issuance.  Servers MUST NOT use any value greater than,CertificateRequest message.  The client MUST respond with the
606,modality,90.0%,issuance.  Servers MUST NOT use any value greater than,"chooses to authenticate, it MUST send Certificate, CertificateVerify,"
607,modality,90.0%,issuance.  Servers MUST NOT use any value greater than,"and Finished.  If it declines, it MUST send a Certificate message"
608,modality,90.0%,issuance.  Servers MUST NOT use any value greater than,messages for a given response MUST appear consecutively on the wire
609,modality,90.0%,issuance.  Servers MUST NOT use any value greater than,"servers MUST be prepared for some delay, including receiving an"
610,modality,90.0%,ticket should be discarded immediately.  Clients MUST NOT cache,transmitted by the client.  The server MUST generate a fresh value
611,modality,90.0%,ticket should be discarded immediately.  Clients MUST NOT cache,CertificateRequest message.  The client MUST respond with the
612,modality,90.0%,ticket should be discarded immediately.  Clients MUST NOT cache,"chooses to authenticate, it MUST send Certificate, CertificateVerify,"
613,modality,90.0%,ticket should be discarded immediately.  Clients MUST NOT cache,"and Finished.  If it declines, it MUST send a Certificate message"
614,modality,90.0%,ticket should be discarded immediately.  Clients MUST NOT cache,messages for a given response MUST appear consecutively on the wire
615,modality,90.0%,ticket should be discarded immediately.  Clients MUST NOT cache,"servers MUST be prepared for some delay, including receiving an"
616,modality,90.0%,ticket should be discarded immediately.  Clients MUST NOT cache,"message MUST terminate the connection with an ""unexpected_message""
alert.  After sending a KeyUpdate message, the sender SHALL send all"
617,modality,90.0%,"Both sender and receiver MUST encrypt their KeyUpdate messages with
the old keys.  Additionally, both sides MUST enforce that a KeyUpdate",-  Handshake messages MUST NOT be interleaved with other record
618,modality,90.0%,"Both sender and receiver MUST encrypt their KeyUpdate messages with
the old keys.  Additionally, both sides MUST enforce that a KeyUpdate","records, there MUST NOT be any other records between them."
619,modality,90.0%,and before the peer's Finished message has been received and MUST,-  Handshake messages MUST NOT be interleaved with other record
620,modality,90.0%,and before the peer's Finished message has been received and MUST,"records, there MUST NOT be any other records between them."
621,modality,90.0%,and before the peer's Finished message has been received and MUST,-  Handshake messages MUST NOT span key changes.  Implementations
622,modality,90.0%,"which receives a protected change_cipher_spec record MUST abort the
handshake with an ""unexpected_message"" alert.  If an implementation",-  Handshake messages MUST NOT be interleaved with other record
623,modality,90.0%,"which receives a protected change_cipher_spec record MUST abort the
handshake with an ""unexpected_message"" alert.  If an implementation","records, there MUST NOT be any other records between them."
624,modality,90.0%,"which receives a protected change_cipher_spec record MUST abort the
handshake with an ""unexpected_message"" alert.  If an implementation",-  Handshake messages MUST NOT span key changes.  Implementations
625,modality,90.0%,"which receives a protected change_cipher_spec record MUST abort the
handshake with an ""unexpected_message"" alert.  If an implementation",Implementations MUST NOT send zero-length fragments of Handshake
626,modality,90.0%,"ClientHello message or after the peer's Finished message, it MUST be",-  Handshake messages MUST NOT be interleaved with other record
627,modality,90.0%,"ClientHello message or after the peer's Finished message, it MUST be","records, there MUST NOT be any other records between them."
628,modality,90.0%,"ClientHello message or after the peer's Finished message, it MUST be",-  Handshake messages MUST NOT span key changes.  Implementations
629,modality,90.0%,"ClientHello message or after the peer's Finished message, it MUST be",Implementations MUST NOT send zero-length fragments of Handshake
630,modality,90.0%,"ClientHello message or after the peer's Finished message, it MUST be",multiple alert messages MUST NOT be coalesced into a single
631,modality,90.0%,"implementation receives an unexpected record type, it MUST terminate",-  Handshake messages MUST NOT be interleaved with other record
632,modality,90.0%,"implementation receives an unexpected record type, it MUST terminate","records, there MUST NOT be any other records between them."
633,modality,90.0%,"implementation receives an unexpected record type, it MUST terminate",-  Handshake messages MUST NOT span key changes.  Implementations
634,modality,90.0%,"implementation receives an unexpected record type, it MUST terminate",Implementations MUST NOT send zero-length fragments of Handshake
635,modality,90.0%,"implementation receives an unexpected record type, it MUST terminate",multiple alert messages MUST NOT be coalesced into a single
636,modality,90.0%,ContentType.  Any future content types MUST specify appropriate,-  Handshake messages MUST NOT be interleaved with other record
637,modality,90.0%,ContentType.  Any future content types MUST specify appropriate,"records, there MUST NOT be any other records between them."
638,modality,90.0%,ContentType.  Any future content types MUST specify appropriate,-  Handshake messages MUST NOT span key changes.  Implementations
639,modality,90.0%,ContentType.  Any future content types MUST specify appropriate,Implementations MUST NOT send zero-length fragments of Handshake
640,modality,90.0%,ContentType.  Any future content types MUST specify appropriate,multiple alert messages MUST NOT be coalesced into a single
641,modality,90.0%,ContentType.  Any future content types MUST specify appropriate,"TLSPlaintext.fragment.  The length MUST NOT exceed 2^14 bytes.  An
endpoint that receives a record that exceeds this length MUST
terminate the connection with a ""record_overflow"" alert."
642,modality,90.0%,-  Handshake messages MUST NOT be interleaved with other record,"records, there MUST NOT be any other records between them."
643,modality,90.0%,-  Handshake messages MUST NOT be interleaved with other record,-  Handshake messages MUST NOT span key changes.  Implementations
644,modality,90.0%,-  Handshake messages MUST NOT be interleaved with other record,"MUST verify that all messages immediately preceding a key change
align with a record boundary; if not, then they MUST terminate the"
645,modality,90.0%,-  Handshake messages MUST NOT be interleaved with other record,MUST send these messages in alignment with a record boundary.
646,modality,90.0%,-  Handshake messages MUST NOT be interleaved with other record,Implementations MUST NOT send zero-length fragments of Handshake
647,modality,90.0%,-  Handshake messages MUST NOT be interleaved with other record,multiple alert messages MUST NOT be coalesced into a single
648,modality,90.0%,-  Handshake messages MUST NOT be interleaved with other record,legacy_record_version:  MUST be set to 0x0303 for all records
649,modality,90.0%,-  Handshake messages MUST NOT be interleaved with other record,field is deprecated and MUST be ignored for all purposes.
650,modality,90.0%,-  Handshake messages MUST NOT be interleaved with other record,"TLSPlaintext.fragment.  The length MUST NOT exceed 2^14 bytes.  An
endpoint that receives a record that exceeds this length MUST
terminate the connection with a ""record_overflow"" alert."
651,modality,90.0%,-  Handshake messages MUST NOT be interleaved with other record,ClientHello or a ServerHello MUST have version 0x0303 (reflecting
652,modality,90.0%,"records, there MUST NOT be any other records between them.",-  Handshake messages MUST NOT span key changes.  Implementations
653,modality,90.0%,"records, there MUST NOT be any other records between them.","MUST verify that all messages immediately preceding a key change
align with a record boundary; if not, then they MUST terminate the"
654,modality,90.0%,"records, there MUST NOT be any other records between them.",MUST send these messages in alignment with a record boundary.
655,modality,90.0%,"records, there MUST NOT be any other records between them.",Implementations MUST NOT send zero-length fragments of Handshake
656,modality,90.0%,"records, there MUST NOT be any other records between them.",multiple alert messages MUST NOT be coalesced into a single
657,modality,90.0%,"records, there MUST NOT be any other records between them.",legacy_record_version:  MUST be set to 0x0303 for all records
658,modality,90.0%,"records, there MUST NOT be any other records between them.",field is deprecated and MUST be ignored for all purposes.
659,modality,90.0%,"records, there MUST NOT be any other records between them.","TLSPlaintext.fragment.  The length MUST NOT exceed 2^14 bytes.  An
endpoint that receives a record that exceeds this length MUST
terminate the connection with a ""record_overflow"" alert."
660,modality,90.0%,"records, there MUST NOT be any other records between them.",ClientHello or a ServerHello MUST have version 0x0303 (reflecting
661,modality,90.0%,-  Handshake messages MUST NOT span key changes.  Implementations,"MUST verify that all messages immediately preceding a key change
align with a record boundary; if not, then they MUST terminate the"
662,modality,90.0%,-  Handshake messages MUST NOT span key changes.  Implementations,MUST send these messages in alignment with a record boundary.
663,modality,90.0%,-  Handshake messages MUST NOT span key changes.  Implementations,Implementations MUST NOT send zero-length fragments of Handshake
664,modality,90.0%,-  Handshake messages MUST NOT span key changes.  Implementations,multiple alert messages MUST NOT be coalesced into a single
665,modality,90.0%,-  Handshake messages MUST NOT span key changes.  Implementations,legacy_record_version:  MUST be set to 0x0303 for all records
666,modality,90.0%,-  Handshake messages MUST NOT span key changes.  Implementations,field is deprecated and MUST be ignored for all purposes.
667,modality,90.0%,-  Handshake messages MUST NOT span key changes.  Implementations,"TLSPlaintext.fragment.  The length MUST NOT exceed 2^14 bytes.  An
endpoint that receives a record that exceeds this length MUST
terminate the connection with a ""record_overflow"" alert."
668,modality,90.0%,-  Handshake messages MUST NOT span key changes.  Implementations,ClientHello or a ServerHello MUST have version 0x0303 (reflecting
669,modality,90.0%,-  Handshake messages MUST NOT span key changes.  Implementations,"MUST NOT exceed 2^14 + 256 bytes.  An endpoint that receives a
record that exceeds this length MUST terminate the connection with"
670,modality,90.0%,"MUST verify that all messages immediately preceding a key change
align with a record boundary; if not, then they MUST terminate the",Implementations MUST NOT send zero-length fragments of Handshake
671,modality,90.0%,"MUST verify that all messages immediately preceding a key change
align with a record boundary; if not, then they MUST terminate the",multiple alert messages MUST NOT be coalesced into a single
672,modality,90.0%,"MUST verify that all messages immediately preceding a key change
align with a record boundary; if not, then they MUST terminate the","TLSPlaintext.fragment.  The length MUST NOT exceed 2^14 bytes.  An
endpoint that receives a record that exceeds this length MUST
terminate the connection with a ""record_overflow"" alert."
673,modality,90.0%,"MUST verify that all messages immediately preceding a key change
align with a record boundary; if not, then they MUST terminate the","MUST NOT exceed 2^14 + 256 bytes.  An endpoint that receives a
record that exceeds this length MUST terminate the connection with"
674,modality,90.0%,MUST send these messages in alignment with a record boundary.,Implementations MUST NOT send zero-length fragments of Handshake
675,modality,90.0%,MUST send these messages in alignment with a record boundary.,multiple alert messages MUST NOT be coalesced into a single
676,modality,90.0%,MUST send these messages in alignment with a record boundary.,"TLSPlaintext.fragment.  The length MUST NOT exceed 2^14 bytes.  An
endpoint that receives a record that exceeds this length MUST
terminate the connection with a ""record_overflow"" alert."
677,modality,90.0%,MUST send these messages in alignment with a record boundary.,"MUST NOT exceed 2^14 + 256 bytes.  An endpoint that receives a
record that exceeds this length MUST terminate the connection with"
678,modality,90.0%,Implementations MUST NOT send zero-length fragments of Handshake,multiple alert messages MUST NOT be coalesced into a single
679,modality,90.0%,Implementations MUST NOT send zero-length fragments of Handshake,legacy_record_version:  MUST be set to 0x0303 for all records
680,modality,90.0%,Implementations MUST NOT send zero-length fragments of Handshake,field is deprecated and MUST be ignored for all purposes.
681,modality,90.0%,Implementations MUST NOT send zero-length fragments of Handshake,"TLSPlaintext.fragment.  The length MUST NOT exceed 2^14 bytes.  An
endpoint that receives a record that exceeds this length MUST
terminate the connection with a ""record_overflow"" alert."
682,modality,90.0%,Implementations MUST NOT send zero-length fragments of Handshake,ClientHello or a ServerHello MUST have version 0x0303 (reflecting
683,modality,90.0%,Implementations MUST NOT send zero-length fragments of Handshake,"MUST NOT exceed 2^14 + 256 bytes.  An endpoint that receives a
record that exceeds this length MUST terminate the connection with"
684,modality,90.0%,Implementations MUST NOT send zero-length fragments of Handshake,"If the decryption fails, the receiver MUST terminate the connection"
685,modality,90.0%,Implementations MUST NOT send zero-length fragments of Handshake,An AEAD algorithm used in TLS 1.3 MUST NOT produce an expansion
686,modality,90.0%,multiple alert messages MUST NOT be coalesced into a single,legacy_record_version:  MUST be set to 0x0303 for all records
687,modality,90.0%,multiple alert messages MUST NOT be coalesced into a single,field is deprecated and MUST be ignored for all purposes.
688,modality,90.0%,multiple alert messages MUST NOT be coalesced into a single,"TLSPlaintext.fragment.  The length MUST NOT exceed 2^14 bytes.  An
endpoint that receives a record that exceeds this length MUST
terminate the connection with a ""record_overflow"" alert."
689,modality,90.0%,multiple alert messages MUST NOT be coalesced into a single,ClientHello or a ServerHello MUST have version 0x0303 (reflecting
690,modality,90.0%,multiple alert messages MUST NOT be coalesced into a single,"MUST NOT exceed 2^14 + 256 bytes.  An endpoint that receives a
record that exceeds this length MUST terminate the connection with"
691,modality,90.0%,multiple alert messages MUST NOT be coalesced into a single,"If the decryption fails, the receiver MUST terminate the connection"
692,modality,90.0%,multiple alert messages MUST NOT be coalesced into a single,An AEAD algorithm used in TLS 1.3 MUST NOT produce an expansion
693,modality,90.0%,multiple alert messages MUST NOT be coalesced into a single,"peer with TLSCiphertext.length larger than 2^14 + 256 octets MUST
terminate the connection with a ""record_overflow"" alert.  This limit"
694,modality,90.0%,legacy_record_version:  MUST be set to 0x0303 for all records,"TLSPlaintext.fragment.  The length MUST NOT exceed 2^14 bytes.  An
endpoint that receives a record that exceeds this length MUST
terminate the connection with a ""record_overflow"" alert."
695,modality,90.0%,legacy_record_version:  MUST be set to 0x0303 for all records,"MUST NOT exceed 2^14 + 256 bytes.  An endpoint that receives a
record that exceeds this length MUST terminate the connection with"
696,modality,90.0%,legacy_record_version:  MUST be set to 0x0303 for all records,An AEAD algorithm used in TLS 1.3 MUST NOT produce an expansion
697,modality,90.0%,field is deprecated and MUST be ignored for all purposes.,"TLSPlaintext.fragment.  The length MUST NOT exceed 2^14 bytes.  An
endpoint that receives a record that exceeds this length MUST
terminate the connection with a ""record_overflow"" alert."
698,modality,90.0%,field is deprecated and MUST be ignored for all purposes.,"MUST NOT exceed 2^14 + 256 bytes.  An endpoint that receives a
record that exceeds this length MUST terminate the connection with"
699,modality,90.0%,field is deprecated and MUST be ignored for all purposes.,An AEAD algorithm used in TLS 1.3 MUST NOT produce an expansion
700,modality,90.0%,"TLSPlaintext.fragment.  The length MUST NOT exceed 2^14 bytes.  An
endpoint that receives a record that exceeds this length MUST
terminate the connection with a ""record_overflow"" alert.",ClientHello or a ServerHello MUST have version 0x0303 (reflecting
701,modality,90.0%,"TLSPlaintext.fragment.  The length MUST NOT exceed 2^14 bytes.  An
endpoint that receives a record that exceeds this length MUST
terminate the connection with a ""record_overflow"" alert.","MUST NOT exceed 2^14 + 256 bytes.  An endpoint that receives a
record that exceeds this length MUST terminate the connection with"
702,modality,90.0%,"TLSPlaintext.fragment.  The length MUST NOT exceed 2^14 bytes.  An
endpoint that receives a record that exceeds this length MUST
terminate the connection with a ""record_overflow"" alert.","If the decryption fails, the receiver MUST terminate the connection"
703,modality,90.0%,"TLSPlaintext.fragment.  The length MUST NOT exceed 2^14 bytes.  An
endpoint that receives a record that exceeds this length MUST
terminate the connection with a ""record_overflow"" alert.",An AEAD algorithm used in TLS 1.3 MUST NOT produce an expansion
704,modality,90.0%,"TLSPlaintext.fragment.  The length MUST NOT exceed 2^14 bytes.  An
endpoint that receives a record that exceeds this length MUST
terminate the connection with a ""record_overflow"" alert.","peer with TLSCiphertext.length larger than 2^14 + 256 octets MUST
terminate the connection with a ""record_overflow"" alert.  This limit"
705,modality,90.0%,"TLSPlaintext.fragment.  The length MUST NOT exceed 2^14 bytes.  An
endpoint that receives a record that exceeds this length MUST
terminate the connection with a ""record_overflow"" alert.","If a TLS implementation would need to wrap a sequence number, it MUST"
706,modality,90.0%,"TLSPlaintext.fragment.  The length MUST NOT exceed 2^14 bytes.  An
endpoint that receives a record that exceeds this length MUST
terminate the connection with a ""record_overflow"" alert.",MUST NOT be used with TLS.  The per-record nonce for the AEAD
707,modality,90.0%,ClientHello or a ServerHello MUST have version 0x0303 (reflecting,"MUST NOT exceed 2^14 + 256 bytes.  An endpoint that receives a
record that exceeds this length MUST terminate the connection with"
